,note_name,duration,measure,beat,subdiv,harm,from_root,NCT,BI2,CI,trill,dynamic,pitch,pitch_norm,dur(s),pitch_dur-6,pitch_dur-5,pitch_dur-4,pitch_dur-3,pitch_dur-2,pitch_dur-1,pitch_dur0,pitch_dur1,pitch_dur2,pitch_dur3,pitch_dur4,pitch_dur5
0,bb4,4,1,1,1,I,1,0,0,0,0,p,70,72,1.0344827586206897,66-4,67-4,68-4,69-4,70-4,71-4,72-4,73-4,74-4,75-4,76-4,77-4
1,a4,4,1,2,1,viidim6,1,0,0,0,0,p,69,71,1.0344827586206897,65-4,66-4,67-4,68-4,69-4,70-4,71-4,72-4,73-4,74-4,75-4,76-4
2,bb4,4,1,3,1,I6,1,0,0,0,0,p,70,72,1.0344827586206897,66-4,67-4,68-4,69-4,70-4,71-4,72-4,73-4,74-4,75-4,76-4,77-4
3,e4,2,2,1,1,viidim65/V,1,0,0,0,0,f,64,66,2.0689655172413794,60-2,61-2,62-2,63-2,64-2,65-2,66-2,67-2,68-2,69-2,70-2,71-2
4,c5,4,2,3,1,V43/V,1,0,0,0,0,mf,72,74,1.0344827586206897,68-4,69-4,70-4,71-4,72-4,73-4,74-4,75-4,76-4,77-4,78-4,79-4
5,c5,4d,3,1,1,V,5,0,0,1,1,mf,72,74,1.5517241379310347,68-4d,69-4d,70-4d,71-4d,72-4d,73-4d,74-4d,75-4d,76-4d,77-4d,78-4d,79-4d
6,bb4,16,3,2,3,V,4,1,0,1,0,d,70,72,0.25862068965517243,66-16,67-16,68-16,69-16,70-16,71-16,72-16,73-16,74-16,75-16,76-16,77-16
7,a4,16,3,2,4,V,3,0,0,1,0,d,69,71,0.25862068965517243,65-16,66-16,67-16,68-16,69-16,70-16,71-16,72-16,73-16,74-16,75-16,76-16
8,g4,16,3,3,1,V,2,1,0,1,0,p,67,69,0.25862068965517243,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16,71-16,72-16,73-16,74-16
9,f4,16,3,3,2,V,1,0,0,1,0,p,65,67,0.25862068965517243,61-16,62-16,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16,71-16,72-16
10,eb4,16,3,3,3,IV6,1,0,0,1,0,c,63,65,0.25862068965517243,59-16,60-16,61-16,62-16,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16
11,g4,16,3,3,4,IV6,3,0,0,1,0,c,67,69,0.25862068965517243,63-16,64-16,65-16,66-16,67-16,68-16,69-16,70-16,71-16,72-16,73-16,74-16
12,f4,8,4,1,1,V65,1,0,0,1,0,d,65,67,0.5172413793103449,61-8,62-8,63-8,64-8,65-8,66-8,67-8,68-8,69-8,70-8,71-8,72-8
13,eb4,8,4,1,3,V65,7,0,0,1,1,d,63,65,0.5172413793103449,59-8,60-8,61-8,62-8,63-8,64-8,65-8,66-8,67-8,68-8,69-8,70-8
14,d4,4,4,2,1,I,3,0,0,1,0,d,62,64,1.0344827586206897,58-4,59-4,60-4,61-4,62-4,63-4,64-4,65-4,66-4,67-4,68-4,69-4
15,d5,4,4,3,1,I,3,0,0,1,0,f,74,76,1.0344827586206897,70-4,71-4,72-4,73-4,74-4,75-4,76-4,77-4,78-4,79-4,80-4,81-4
